Code,Status,encoded_code
8817VB 95M,TRUE,98
3968VB 97M,TRUE,52
7456VB 36M,TRUE,88
3001VB 20M,TRUE,35
3914VB 17M,TRUE,51
1917VB 1M,TRUE,10
9859VB 60M,TRUE,110
6638VB 49M,TRUE,80
3313VB 76M,TRUE,39
1746VB 31M,TRUE,6
1285VB 45M,TRUE,1
5125VB 41M,TRUE,66
6018VB 59M,TRUE,74
1382VB 24M,TRUE,2
4033VB 39M,TRUE,53
5617VB 56M,TRUE,71
9341VB 85M,TRUE,105
8859VB 20M,TRUE,99
8023VB 71M,TRUE,95
2740VB 63M,TRUE,22
4221VB 68M,TRUE,55
6693VB 26M,TRUE,81
5436VB 92M,TRUE,70
1808VB 82M,TRUE,8
4140VB 5M,TRUE,54
8953VB 89M,TRUE,101
9661VB 61M,TRUE,108
5084VB 66M,TRUE,65
7354VB 81M,TRUE,86
3857VB 55M,TRUE,48
3756VB 11M,TRUE,46
6749VB 23M,TRUE,82
3367VB 82M,TRUE,41
2410VB 50M,TRUE,19
4687VB 95M,TRUE,61
8557VB 98M,TRUE,97
8436VB 38M,TRUE,96
6831VB 7M,TRUE,83
9494VB 17M,TRUE,106
4389VB 84M,TRUE,58
3370VB 5M,TRUE,42
9006VB 75M,TRUE,104
4838VB 54M,TRUE,62
1984VB 91M,TRUE,12
7969VB 93M,TRUE,94
3232VB 53M,TRUE,38
4360VB 56M,TRUE,57
7534VB 62M,TRUE,89
2676VB 10M,TRUE,21
2333VB 38M,TRUE,18
3713VB 55M,TRUE,44
1713VB 37M,TRUE,5
4316VB 37M,TRUE,56
5311VB 53M,TRUE,68
8981VB 66M,TRUE,102
5961VB 53M,TRUE,73
1592VB 31M,TRUE,4
6026VB 8M,TRUE,75
2756VB 50M,TRUE,23
1850VB 40M,TRUE,9
8931VB 40M,TRUE,100
7786VB 99M,TRUE,90
1201VB 76M,TRUE,0
4856VB 48M,TRUE,63
9003VB 9M,TRUE,103
2149VB 86M,TRUE,14
3733VB 29M,TRUE,45
4982VB 96M,TRUE,64
2004VB 56M,TRUE,13
3328VB 68M,TRUE,40
7089VB 72M,TRUE,85
3794VB 13M,TRUE,47
1948VB 91M,TRUE,11
2801VB 11M,TRUE,25
7928VB 86M,TRUE,92
6337VB 14M,TRUE,76
9815VB 11M,TRUE,109
6378VB 99M,TRUE,78
7797VB 15M,TRUE,91
3583VB 69M,TRUE,43
9559VB 54M,TRUE,107
3894VB 15M,TRUE,50
3007VB 20M,TRUE,36
2526VB 91M,TRUE,20
6378VB 23M,TRUE,77
4574VB 80M,TRUE,60
5161VB 11M,TRUE,67
6474VB 5M,TRUE,79
